Loss,Mem,Throughput,lr
9.7319,47.052,553327.1337,0.509
9.7884,47.052,428638.1832,0.51
9.7433,47.052,429995.4853,0.511
9.7361,47.052,450278.6614,0.512
9.7167,47.052,434795.1942,0.513
9.6982,47.052,582194.4506,0.514
9.7502,47.052,451386.8135,0.515
9.7119,47.052,119605.3549,0.516
9.7544,47.052,456975.0526,0.517
9.7028,47.052,518039.1149,0.518
9.6996,47.052,436414.3688,0.519
9.7097,47.052,441248.0139,0.52
9.7115,47.052,474514.9102,0.521
9.7291,47.052,496881.7868,0.522
9.7283,47.052,458151.0375,0.523
9.7071,47.052,512978.3329,0.524
9.7434,47.052,359261.8413,0.525
9.6892,47.052,565022.9259,0.526
9.7031,47.052,528605.0471,0.527
9.6868,47.052,461588.573,0.528
9.6619,47.052,487233.0327,0.529
9.6613,47.052,531955.7844,0.53
9.687,47.052,520034.2273,0.531
9.6944,47.052,132465.2388,0.532
9.6895,47.052,424121.9975,0.533
9.6504,47.052,539990.815,0.534
9.6895,47.052,446706.9307,0.535
9.6366,47.052,537615.2047,0.536
9.6745,47.052,401931.7417,0.537
9.7232,47.052,417878.9479,0.538
9.6596,47.052,513652.2799,0.539
9.6561,47.052,563870.054,0.54
9.7011,47.052,372473.1691,0.541
9.7002,47.052,421534.7614,0.542
9.6462,47.052,508195.5699,0.543
9.6157,47.052,448562.4752,0.544
9.6955,47.052,400164.0512,0.545
9.653,47.052,513711.0166,0.546
9.639,47.052,146276.543,0.547
9.6545,47.052,498094.3457,0.548
9.6382,47.052,515589.3165,0.549
9.6447,47.052,535814.5194,0.55
9.6305,47.052,478233.7763,0.551
9.6125,47.052,425213.8849,0.552
9.6099,47.052,454482.0318,0.553
9.5838,47.052,492490.5231,0.554
9.6274,47.052,481289.613,0.555
9.5977,47.052,531365.002,0.556
9.5688,47.052,499219.2673,0.557
9.5898,47.052,417421.4619,0.558
9.6311,47.052,411401.2089,0.559
9.619,47.052,437394.5775,0.56
9.6032,47.052,476555.5123,0.561
9.6001,47.052,548369.9173,0.562
9.6326,47.052,91927.8775,0.563
9.5783,47.052,411530.4497,0.564
9.6183,47.052,364016.1203,0.565
9.6348,47.052,447251.9328,0.566
9.5985,47.052,431079.6732,0.567
9.6043,47.052,474903.1983,0.568
9.5403,47.052,451407.9337,0.569
9.5883,47.052,581357.0264,0.57
9.5721,47.052,433661.7943,0.571
9.5461,47.052,539028.6877,0.572
9.5785,47.052,399594.595,0.573
9.5467,47.052,572360.623,0.574
9.5428,47.052,539085.7229,0.575
9.5573,47.052,516674.4036,0.576
9.5696,47.052,458995.0329,0.577
9.5257,47.052,450579.1776,0.578
9.555,47.052,128048.9811,0.579
9.5669,47.052,466182.5411,0.58
9.5419,47.052,532001.4244,0.581
9.4927,47.052,505638.8912,0.582
9.5347,47.052,498348.2388,0.583
9.5627,47.052,483260.5421,0.584
9.5214,47.052,538100.6976,0.585
9.5192,47.052,486325.7823,0.586
9.5,47.052,426041.3524,0.587
9.5211,47.052,527515.6761,0.588
9.5348,47.052,492801.0631,0.589
9.5129,47.052,514157.5388,0.59
9.5041,47.052,481068.4731,0.591
9.5399,47.052,400420.1245,0.592
9.514,47.052,537885.5787,0.593
9.4696,47.052,150428.1195,0.594
9.4989,47.052,532835.2853,0.595
9.4878,47.052,470124.286,0.596
9.4538,47.052,484138.1008,0.597
9.5466,47.052,434416.9752,0.598
9.4813,47.052,471115.0999,0.599
9.4467,47.052,502307.5902,0.6
9.4913,47.052,498741.1317,0.601
9.4748,47.052,495742.4232,0.602
9.4863,47.052,405245.9048,0.603
9.4647,47.052,458516.0728,0.604
9.4869,47.052,504422.6492,0.605
9.4608,47.052,478065.6687,0.606
9.5281,47.052,359468.7819,0.607
9.4286,47.052,491375.4558,0.608
9.522,47.052,376117.9086,0.609
9.4858,47.052,154502.8708,0.61
9.4217,47.052,461931.8246,0.611
9.4623,47.052,461697.8554,0.612
9.437,47.052,453863.5548,0.613
9.452,47.052,484567.9719,0.614
9.4591,47.052,518255.5675,0.615
9.4537,47.052,461477.9028,0.616
9.4309,47.052,505410.5926,0.617
9.4121,47.052,511592.9648,0.618
9.4464,47.052,455658.7462,0.619
9.4244,47.052,537758.6305,0.62
9.4334,47.052,483477.2218,0.621
9.4129,47.052,523153.3734,0.622
9.4088,47.052,448645.3681,0.623
9.3908,47.052,497961.4531,0.624
9.4011,47.052,481072.4157,0.625
9.3905,47.052,113402.6837,0.626
9.4095,47.052,533126.2037,0.627
9.4385,47.052,426882.1991,0.628
9.4782,47.052,372546.6094,0.629
9.3777,47.052,548684.1233,0.63
9.4157,47.052,441896.8083,0.631
9.3775,47.052,496906.1889,0.632
9.3577,47.052,525634.8276,0.633
9.3948,47.052,462358.6094,0.634
9.3689,47.052,469853.6456,0.635
9.4043,47.052,539154.4269,0.636
9.4065,47.052,447185.4787,0.637
9.3918,47.052,530096.3966,0.638
9.384,47.052,493387.2103,0.639
9.3871,47.052,487957.6507,0.64
9.3778,47.052,88281.6423,0.641
9.3686,47.052,560013.8887,0.642
9.3906,47.052,418414.4068,0.643
9.4001,47.052,414676.095,0.644
9.3749,47.052,477532.3187,0.645
9.3562,47.052,468423.153,0.646
9.3815,47.052,460954.2281,0.647
9.3415,47.052,552238.0944,0.648
9.4081,47.052,447885.4435,0.649
9.3862,47.052,624090.1296,0.65
9.3673,47.052,492134.6741,0.651
9.367,47.052,569000.2511,0.652
9.3805,47.052,468387.7108,0.653
9.3608,47.052,486002.5765,0.654
9.3396,47.052,449500.1357,0.655
9.3397,47.052,476400.6089,0.656
9.3619,47.052,141330.2517,0.657
9.3251,47.052,424824.542,0.658
9.36,47.052,452544.264,0.659
9.3026,47.052,539407.0674,0.66
9.3159,47.052,462557.2282,0.661
9.2952,47.052,484527.1992,0.662
9.1427,47.052,559133.3626,0.663
9.3149,47.052,521838.3567,0.664
9.3017,47.052,519560.9116,0.665
9.2716,47.052,476626.5782,0.666
9.2605,47.052,569090.8063,0.667
9.3336,47.052,467317.2662,0.668
9.3182,47.052,408541.8282,0.669
9.3096,47.052,610965.8512,0.67
9.3168,47.052,499803.5445,0.671
9.349,47.052,109112.5561,0.672
9.3068,47.052,428691.2532,0.673
9.2783,47.052,519450.4802,0.674
9.3258,47.052,444867.9657,0.675
9.2873,47.052,450944.9535,0.676
9.3,47.052,484158.562,0.677
9.2287,47.052,557163.9975,0.678
9.2444,47.052,455879.6338,0.679
9.2463,47.052,516094.0267,0.68
9.2681,47.052,541129.985,0.681
9.2535,47.052,546784.1722,0.682
9.287,47.052,536171.6061,0.683
9.2527,47.052,462396.3149,0.684
9.2732,47.052,545456.4728,0.685
9.2832,47.052,495499.4316,0.686
9.2628,47.052,495174.7541,0.687
9.1743,47.052,146016.6356,0.688
9.2294,47.052,562312.3661,0.689
9.2326,47.052,588098.2188,0.69
9.2808,47.052,573306.6056,0.691
