train_acc,loss,0,1
45.131,1.7799,,
45.384,1.7799,,
45.833,1.78,,
46.196,1.7832,,
46.41,1.7837,,
46.224,1.7855,,
46.429,1.7865,,
46.75,1.7881,,
46.936,1.7872,,
46.875,1.7856,,
47.052,1.7838,,
46.933,1.7814,,
47.045,1.7797,,
46.987,1.7794,,
46.985,1.7804,,
46.821,1.7794,,
47.034,1.7799,,
47.083,1.7794,,
46.977,1.7824,,
47.077,1.783,,
47.222,1.7837,,
47.314,1.7833,,
47.5,1.782,,
47.727,1.7819,,
47.854,1.7807,,
47.932,1.7806,,
47.871,1.7796,,
47.634,1.7785,,
47.755,1.7767,,
47.656,1.7733,,
47.517,1.7703,,
47.593,1.7674,,
47.5,1.7704,,
47.451,1.7674,,
47.443,1.7687,,
47.516,1.7686,,
47.508,1.769,,
47.5,1.7675,,
47.531,1.769,,
47.561,1.7671,,
47.59,1.7667,,
47.582,1.7644,,
47.537,1.7662,,
47.565,1.7655,,
47.593,1.7651,,
47.621,1.7654,,
47.788,1.763,,
47.917,1.763,,
47.905,1.7605,,
48.03,1.758,,
48.051,1.7585,,
48.138,1.7566,,
48.191,1.7573,,
48.21,1.7556,,
48.26,1.7562,,
48.246,1.7567,,
48.327,1.7579,,
48.375,1.7569,,
48.422,1.7575,,
48.591,1.7543,,
48.665,1.7522,,
48.648,1.7506,,
48.69,1.7522,,
48.644,1.752,,
48.715,1.7511,,
48.582,1.753,,
48.567,1.7514,,
48.466,1.75,,
48.564,1.7514,,
48.661,1.75,,
48.783,1.7485,,
48.876,1.7489,,
48.886,1.7501,,
48.922,1.7492,,
48.825,1.7483,,
48.835,1.7474,,
48.818,1.7454,,
48.828,1.7439,,
48.657,1.7435,,
48.642,1.7426,,
48.704,1.7422,,
48.69,1.7418,,
48.8,1.7414,,
48.81,1.7397,,
48.819,1.7398,,
48.73,1.7389,,
48.619,20.6355,,
48.654,20.936,,
48.712,24.4445,,
48.745,21.4005,,
48.755,20.8458,,
48.811,20.4451,,
48.704,19.3102,,
48.805,19.0388,,
48.814,19.0666,,
48.845,19.4981,,
48.763,19.4118,,
48.884,18.9131,,
48.87,19.3208,,
48.922,19.941,,
48.951,19.6333,,
48.98,19.5973,,
48.987,19.8706,,
49.015,19.959,,
49.022,19.9522,,
49.05,20.0912,,
49.14,19.7507,,
49.146,19.6815,,
49.255,19.4589,,
49.363,19.406,,
49.408,19.4137,,
49.452,19.3501,,
49.456,19.4581,,
49.459,19.4512,,
49.403,19.2735,,
49.347,19.1726,,
49.292,19.0072,,
49.297,19.1765,,
49.243,19.0658,,
49.421,19.02,,
49.502,18.8969,,
49.562,18.8593,,
49.489,18.6403,,
49.416,18.7753,,
49.401,18.706,,
49.293,18.6145,,
49.297,18.7111,,
49.375,18.6599,,
49.287,18.646,,
49.291,18.526,,
49.368,18.3934,,
49.335,18.329,,
49.268,18.4666,,
49.254,18.4906,,
49.276,18.3811,,
49.315,18.3069,,
49.354,18.2079,,
49.358,18.1301,,
49.327,18.3183,,
49.296,18.2804,,
49.3,18.2387,,
49.355,18.3096,,
49.375,18.3345,,
49.395,18.2495,,
49.432,18.3391,,
49.5,18.4193,,
62.5,18.5336,,
51.562,18.6748,,
50.0,18.6179,,
46.875,18.582,,
50.625,18.6421,,
50.0,18.6088,,
48.214,18.6297,,
46.875,18.5388,,
45.833,18.5301,,
45.625,18.5431,,
47.443,18.5003,,
47.656,18.4891,,
47.115,18.5842,,
49.107,18.5644,,
48.542,18.6466,,
48.047,18.5756,,
47.794,18.6199,,
47.569,18.5513,,
47.204,18.5391,,
47.656,1.7461,,
48.065,1.8132,,
48.438,1.7862,,
49.049,1.8042,,
