Loss,Mem,Throughput,lr,0,1,2,3
8.6659,43.209,67187.3232,1.0,,,,
8.7126,43.209,73191.0091,1.0,,,,
8.7289,43.209,71404.1488,1.0,,,,
8.7197,43.209,49009.8821,1.0,,,,
8.7362,43.209,57335.0318,1.0,,,,
8.679,43.209,74236.6728,1.0,,,,
8.7126,43.209,61113.227,1.0,,,,
8.6552,43.209,73836.4245,1.0,,,,
8.7357,43.209,55392.9113,1.0,,,,
8.7847,43.209,57331.8581,1.0,,,,
8.694,43.209,70442.6349,1.0,,,,
8.7283,43.209,77154.8615,1.0,,,,
8.7346,43.209,51337.3343,1.0,,,,
8.7728,43.209,58921.6474,1.0,,,,
8.6787,43.209,69754.1147,1.0,,,,
8.662,43.209,61911.6236,1.0,,,,
8.7426,43.209,54912.9058,1.0,,,,
8.725,43.209,70920.7948,1.0,,,,
8.7307,43.209,53529.9894,1.0,,,,
8.7209,43.209,69063.7606,1.0,,,,
8.69,43.209,71157.7939,1.0,,,,
8.7047,43.209,73416.9121,1.0,,,,
8.6745,43.209,65751.2542,1.0,,,,
8.661,43.209,58716.2895,1.0,,,,
8.6471,43.209,63436.8672,1.0,,,,
8.6207,43.209,67901.1217,1.0,,,,
8.7097,43.209,66716.6359,1.0,,,,
8.6903,43.209,73233.4376,1.0,,,,
8.621,43.209,68633.8925,1.0,,,,
8.6239,43.209,57680.653,1.0,,,,
8.7038,43.209,56876.3053,1.0,,,,
8.6879,43.209,61379.4805,1.0,,,,
8.6891,43.209,66277.2686,1.0,,,,
8.6893,43.209,75804.103,1.0,,,,
8.7037,43.209,41123.2275,1.0,,,,
8.6462,43.209,56557.498,1.0,,,,
8.7001,43.209,49936.28,1.0,,,,
8.7115,43.209,61615.5793,1.0,,,,
8.7079,43.209,59032.6917,1.0,,,,
8.6698,43.209,65426.4009,1.0,,,,
8.6139,43.209,62000.2079,1.0,,,,
8.7133,43.209,80035.805,1.0,,,,
8.6566,43.209,59241.678,1.0,,,,
8.6273,43.209,74097.5686,1.0,,,,
8.7221,43.209,54852.278,1.0,,,,
8.6736,43.209,78852.148,1.0,,,,
8.664,43.209,73954.955,1.0,,,,
8.6919,43.209,70509.5813,1.0,,,,
8.6681,43.209,62815.6307,1.0,,,,
8.6261,43.209,61749.7621,1.0,,,,
8.6713,43.209,48931.6439,1.0,,,,
8.7337,43.209,64426.3005,1.0,,,,
8.7062,43.209,72846.8142,1.0,,,,
8.6128,43.209,69387.7117,1.0,,,,
8.6262,43.209,68528.2371,1.0,,,,
8.6939,43.209,66284.2691,1.0,,,,
8.637,43.209,73625.3232,1.0,,,,
8.6542,43.209,66539.9557,1.0,,,,
8.61,43.209,58572.0888,1.0,,,,
8.6445,43.209,72527.7708,1.0,,,,
8.6458,43.209,67539.932,1.0,,,,
