train_acc,loss,0,1
19.207,7.3663,,
19.127,7.3615,,
19.085,7.3555,,
19.118,7.3615,,
19.15,7.3561,,
19.217,7.3531,,
19.212,7.3548,,
19.277,7.3592,,
19.514,7.3603,,
19.402,7.3662,,
19.531,7.3696,,
19.59,7.3638,,
19.548,7.357,,
19.441,7.3591,,
19.434,7.3595,,
19.394,7.3639,,
19.324,7.3636,,
19.192,7.3603,,
19.219,7.365,,
19.059,7.3694,,
19.24,7.3664,,
19.296,7.3578,,
19.231,7.3767,,
19.286,7.3843,,
19.192,7.3843,,
19.188,7.3843,,
19.271,7.3904,,
19.151,7.3994,,
19.062,7.4014,,
18.919,7.4021,,
18.917,7.3924,,
18.888,7.3942,,
18.887,7.3902,,
18.967,7.3854,,
19.019,7.3921,,
19.044,7.3963,,
19.121,7.3942,,
19.118,7.407,,
19.245,7.405,,
19.112,7.4069,,
19.083,7.4077,,
19.131,7.4061,,
19.103,7.4101,,
19.15,7.4115,,
19.221,7.4139,,
19.291,7.4173,,
19.336,7.418,,
19.404,3.289,,
19.447,3.153,,
19.394,2.8586,,
19.484,2.7914,,
19.502,2.6529,,
19.566,2.5946,,
19.56,2.5749,,
19.646,2.6189,,
19.685,2.6018,,
19.814,2.5969,,
19.874,2.7615,,
19.955,2.7329,,
19.969,2.7036,,
20.136,2.6834,,
20.127,2.6776,,
20.182,2.6969,,
20.151,2.6946,,
20.163,2.6856,,
20.281,2.6632,,
20.27,2.6576,,
20.344,2.72,,
20.312,2.6991,,
20.281,2.6748,,
20.395,2.6536,,
20.404,2.6552,,
20.597,2.6538,,
20.544,2.6467,,
20.573,2.6572,,
20.621,2.6502,,
20.649,2.6356,,
20.617,2.6876,,
20.625,2.6827,,
20.555,2.6751,,
20.698,2.6815,,
20.801,2.675,,
20.846,2.6716,,
20.814,2.6604,,
20.727,2.6554,,
20.79,2.6408,,
20.778,2.6337,,
20.784,2.6681,,
20.827,2.6622,,
20.797,2.657,,
20.821,2.6548,,
20.863,2.643,,
20.941,2.6341,,
20.893,2.6264,,
20.881,2.6249,,
20.869,2.6165,,
20.804,2.6142,,
20.81,2.6463,,
20.903,2.6432,,
