Loss,Mem,Throughput,lr,0,1,2,3
8.7603,43.599,28774.838,1.0,,,,
8.7848,43.599,26064.1922,1.0,,,,
8.7295,43.599,24476.6988,1.0,,,,
8.7482,43.599,25474.4441,1.0,,,,
8.8142,43.599,26880.9605,1.0,,,,
8.8351,43.599,23665.7956,1.0,,,,
8.8089,43.599,27023.8861,1.0,,,,
8.7173,43.601,25455.2339,1.0,,,,
8.826,43.601,20677.3216,1.0,,,,
8.8278,43.601,31400.5859,1.0,,,,
8.8046,43.601,30993.0957,1.0,,,,
8.7363,43.601,28852.2448,1.0,,,,
8.7752,43.601,27878.4699,1.0,,,,
8.7725,43.601,25588.8081,1.0,,,,
8.748,43.601,29043.8215,1.0,,,,
8.8387,43.601,21462.3368,1.0,,,,
8.8216,43.601,24409.5393,1.0,,,,
8.7711,43.602,24822.6949,1.0,,,,
8.7921,43.602,25417.9021,1.0,,,,
8.8076,43.602,28548.7571,1.0,,,,
8.7827,43.602,25938.093,1.0,,,,
8.7758,43.602,25041.5976,1.0,,,,
8.7439,43.602,26858.9405,1.0,,,,
8.7823,43.602,24653.3719,1.0,,,,
8.768,43.602,26104.9602,1.0,,,,
8.7046,43.602,28452.4691,1.0,,,,
8.7516,43.602,34082.1278,1.0,,,,
8.761,43.6,29844.8241,1.0,,,,
8.763,43.6,22591.8037,1.0,,,,
8.7466,43.6,26373.2624,1.0,,,,
8.7424,43.6,28193.991,1.0,,,,
8.7616,43.6,28612.9298,1.0,,,,
8.7155,43.6,28784.2213,1.0,,,,
8.7382,43.6,26497.1585,1.0,,,,
8.7246,43.6,25086.2656,1.0,,,,
8.7619,43.6,29233.4931,1.0,,,,
8.7387,43.6,30523.9584,1.0,,,,
8.6931,43.608,23128.0541,1.0,,,,
8.7683,43.608,29578.5081,1.0,,,,
8.7583,43.608,30356.0615,1.0,,,,
8.7362,43.608,31585.0244,1.0,,,,
8.6928,43.608,30896.9911,1.0,,,,
8.7309,43.608,31041.1806,1.0,,,,
8.6903,43.608,26380.2534,1.0,,,,
8.6962,43.608,27647.3444,1.0,,,,
8.7247,43.608,31115.9017,1.0,,,,
8.7829,43.608,24306.3351,1.0,,,,
8.7152,43.599,24198.8791,1.0,,,,
8.7323,43.599,25497.1597,1.0,,,,
8.728,43.599,24589.3097,1.0,,,,
8.7256,43.599,32978.0686,1.0,,,,
8.7533,43.599,25440.9807,1.0,,,,
8.7005,43.599,19788.4563,1.0,,,,
8.7611,43.599,25821.8776,1.0,,,,
8.7103,43.599,29297.2266,1.0,,,,
8.7203,43.599,24645.6325,1.0,,,,
8.7363,43.599,25131.2797,1.0,,,,
8.7347,43.601,26779.8036,1.0,,,,
8.7667,43.601,28153.444,1.0,,,,
8.774,43.601,26095.1434,1.0,,,,
8.7373,43.601,29005.5507,1.0,,,,
8.7729,43.601,20370.5121,1.0,,,,
8.6865,43.601,32108.6815,1.0,,,,
8.7483,43.601,29859.708,1.0,,,,
8.7452,43.601,26154.3527,1.0,,,,
8.6858,43.601,27645.453,1.0,,,,
8.7274,43.601,30158.8353,1.0,,,,
8.7388,43.603,29337.8183,1.0,,,,
8.7279,43.603,23125.5146,1.0,,,,
8.738,43.603,24190.5475,1.0,,,,
8.7165,43.603,30515.5335,1.0,,,,
8.7408,43.603,25166.6448,1.0,,,,
8.6667,43.603,30486.6377,1.0,,,,
8.7454,43.603,22756.54,1.0,,,,
8.7876,43.603,23587.85,1.0,,,,
8.7124,43.603,28969.2934,1.0,,,,
8.7366,43.603,32024.6922,1.0,,,,
8.7586,43.602,21152.6374,1.0,,,,
8.7909,43.602,24234.217,1.0,,,,
8.7057,43.602,28832.225,1.0,,,,
8.6614,43.602,25379.4207,1.0,,,,
8.7538,43.602,22606.8381,1.0,,,,
8.7419,43.602,29172.2406,1.0,,,,
8.754,43.602,24567.4024,1.0,,,,
8.7455,43.602,28353.5123,1.0,,,,
8.7148,43.602,29298.9224,1.0,,,,
8.7221,43.602,30468.8721,1.0,,,,
8.6952,43.609,27001.3545,1.0,,,,
8.6736,43.609,24091.0981,1.0,,,,
8.6683,43.609,26108.2439,1.0,,,,
8.649,43.609,27854.6042,1.0,,,,
